VERB,NOUN,SUBJECT,,
Cum on ,Chungorian,John,,Note:
Eat ,Humunculated chungorian,Quinn,,"add words with the syntax in mind -> ""I will {verb} {subject}'s {noun}"""
Destroy ,Phallic membrane,Cynder,,
Anally rape ,Liver,Babak,,
Devour,Anus,Felipe,,
Swallow,Asshole,Rafa,,
Burn down,Gun,Matias,,
Rape,Spleen,Felipe,,
Cum in,Cum Sandwich,Robby,,
Shoot,Butthole,Achendore,,
Obliterate,Ass cheeks,Jimmy,,
Annihilate,Cum,Liam,,
Lick,Mouth,Collin,,
Have sex with,Eggplant,Evan,,
Break,Brain,Luke,,
Shoot,Uterus,Boe Jiden,,
Bombard,,Pat Benatar,,
Smoke,,Birute Galdikas,,
Blow,,Bashar al-Assad,,
Fuck,,Matthew Harke,,
Shit in,,Topo Gigio,,
Cum on ,,Mark Zuckerberg,,
Shit on,,Joe Rogan,,
,,Baltic Lemon,,
,,Belcaliz Almanzar,,
,,Collin,,
,,Collin,,
,,Collin,,
,,Collin,,
,,Collin,,
